PGA,JAKARTA,BANDUNG,SEMARANG,YOGYAKARTA,SURABAYA,DENPASAR
0.0001,1.781220198,1.93049935,1.394081574,1.714341644,1.62461,1.78934288
0.000125,1.778728198,1.92895525,1.392811574,1.713201644,1.62176,1.78607288
0.0002,1.768007198,1.9196321,1.384101574,1.705171644,1.608951,1.77426388
0.000404,1.716041198,1.8617564,1.327361574,1.650401644,1.547595,1.72039588
0.001,1.512514198,1.61902255,1.099371574,1.416801644,1.310622,1.51252854
0.002,1.227903792,1.29802275,0.825741574,1.114261644,1.003896,1.24887852
0.002105,1.202959792,1.27131835,0.80436054,1.089551644,0.979063,1.22727242
0.003,1.019110026,1.08046595,0.65731027,0.915134644,0.805908,1.0730561
0.005,0.736962784,0.80086835,0.45892192,0.667658644,0.568197,0.84333202
0.01,0.395137846,0.46173287,0.2428631,0.380950644,0.3047836,0.54220968
0.0127,0.303163866,0.366344188,0.186903376,0.302620644,0.2352146,0.44840806
0.02,0.170719296,0.2223558,0.10694602,0.185324578,0.134388,0.29316692
0.0427,0.052518788,0.080630233,0.035372554,0.068591874,0.0428448,0.113910878
0.0641,0.024824927,0.042322304,0.018189856,0.036288218,0.020684301,0.058795741
0.144,0.004509324,0.009378759,0.004577673,0.008286172,0.003623716,0.010656176
0.216,0.001724773,0.00385305,0.002086748,0.003535278,0.001234276,0.003621074
0.487,0.000166439,0.000350205,0.000200459,0.0003584,7.05E-05,0.000221762
1.09,5.52E-06,4.42E-06,1.14E-06,5.50E-06,7.96E-07,3.75E-06
2.46,4.12E-10,7.50E-21,7.00E-21,7.00E-21,8.00E-21,8.00E-21
3.69,8.00E-21,7.50E-21,7.00E-21,7.00E-21,8.00E-21,8.00E-21
